date,Rat_ID,sex,water_deprivation_h,solution,Taste,body weight(g),active licks,inactivelicks, active licks/inactive licks,
2019-06-27,5,f,23,0.0025%,quinine,249,4232,1,4232,
2019-06-27,6,f,23,0.0025%,quinine,256,1959,197,9.944162437,
2019-06-27,7,m,23,0.0400%,saccharine,428,3987,30,132.9,
2019-06-27,8,m,23,0.0400%,saccharine,394,5217,36,144.9166667,
2019-06-27,9,m,23,0.0400%,saccharine,421,4692,22,213.2727273,
2019-06-27,10,m,23,0.0025%,quinine,402,4857,27,179.8888889,
2019-06-27,11,m,23,0.0025%,quinine,386,6935,2,3467.5,
2019-06-27,12,m,23,0.0025%,quinine,362,3986,80,49.825,
2019-06-28,1,f,23,0.1000%,saccharine,232,6301,28,225.0357143,
2019-06-28,2,f,23,0.1000%,saccharine,231,2846,11,258.7272727,
2019-06-28,3,f,23,0.1000%,saccharine,237,5267,6,877.8333333,
2019-06-28,4,f,23,0.0050%,quinine,240,1859,7,265.5714286,
2019-06-28,5,f,23,0.0050%,quinine,253,4888,1,4888,
2019-06-28,6,f,23,0.0050%,quinine,258,2314,61,37.93442623,
2019-06-28,7,m,23,0.1000%,saccharine,435,4566,8,570.75,
2019-06-28,8,m,23,0.1000%,saccharine,392,3270,37,88.37837838,
2019-06-28,9,m,23,0.1000%,saccharine,419,6158,8,769.75,
2019-06-28,10,m,23,0.0050%,quinine,399,5476,23,238.0869565,
2019-06-28,11,m,23,0.0050%,quinine,381,6332,3,2110.666667,
2019-06-28,12,m,23,0.0050%,quinine,363,3878,32,121.1875,
2019-07-03,1,f,23,0.4000%,saccharine,235,4916,16,307.25,
2019-07-03,2,f,23,0.4000%,saccharine,240,5661,6,943.5,
2019-07-03,3,f,23,0.4000%,saccharine,246,4447,1,4447,
2019-07-03,4,f,23,0.0100%,quinine,249,1744,4,436,
2019-07-03,5,f,23,0.0100%,quinine,263,4395,1,4395,
2019-07-03,6,f,23,0.0100%,quinine,262,2797,1,2797,
2019-07-03,7,m,23,0.4000%,saccharine,449,3795,3,1265,
2019-07-03,8,m,23,0.4000%,saccharine,418,5346,19,281.3684211,
2019-07-03,9,m,23,0.4000%,saccharine,450,6434,6,1072.333333,
2019-07-03,10,m,23,0.0100%,quinine,415,5342,1,5342,
2019-07-03,11,m,23,0.0100%,quinine,405,5945,49,121.3265306,
2019-07-03,12,m,23,0.0100%,quinine,379,3563,22,161.9545455,
