date,Rat_ID,sex,water_deprivation_h,solution,Taste,body weight(g),active licks,inactivelicks, active licks/inactive licks
2019-06-06,1,f,6,0.0010%,quinine,207,36,7,5.142857143
2019-06-06,2,f,6,0.0010%,quinine,198,215,46,4.673913043
2019-06-06,3,f,6,0.0010%,quinine,209,16,43,0.372093023
2019-06-06,4,f,6,0.0100%,saccharine,215,6,2,3
2019-06-06,5,f,6,0.0100%,saccharine,228,346,18,19.22222222
2019-06-06,6,f,6,0.0100%,saccharine,219,247,107,2.308411215
2019-06-06,7,m,6,0.0010%,quinine,303,260,58,4.482758621
2019-06-06,8,m,6,0.0010%,quinine,301,65,217,0.299539171
2019-06-06,9,m,6,0.0010%,quinine,319,45,92,0.489130435
2019-06-06,10,m,6,0.0100%,saccharine,303,0,0,0
2019-06-06,11,m,6,0.0100%,saccharine,305,30,20,1.5
2019-06-06,12,m,6,0.0100%,saccharine,295,298,273,1.091575092
2019-06-07,1,f,6,0.0025%,quinine,212,18,178,0.101123596
2019-06-07,2,f,6,0.0025%,quinine,204,92,26,3.538461538
2019-06-07,3,f,6,0.0025%,quinine,218,4,51,0.078431373
2019-06-07,4,f,6,0.0400%,saccharine,219,5,3,1.666666667
2019-06-07,5,f,6,0.0400%,saccharine,232,444,71,6.253521127
2019-06-07,6,f,6,0.0400%,saccharine,227,771,31,24.87096774
2019-06-07,7,m,6,0.0025%,quinine,316,82,47,1.744680851
2019-06-07,8,m,6,0.0025%,quinine,307,25,20,1.25
2019-06-07,9,m,6,0.0025%,quinine,322,57,14,4.071428571
2019-06-07,10,m,6,0.0400%,saccharine,311,16,39,0.41025641
2019-06-07,11,m,6,0.0400%,saccharine,316,380,66,5.757575758
2019-06-07,12,m,6,0.0400%,saccharine,301,302,189,1.597883598
2019-06-10,1,f,6,0.0050%,quinine,217,70,75,0.933333333
2019-06-10,2,f,6,0.0050%,quinine,211,113,180,0.627777778
2019-06-10,3,f,6,0.0050%,quinine,213,30,69,0.434782609
2019-06-10,4,f,6,0.1000%,saccharine,229,5,4,1.25
2019-06-10,5,f,6,0.1000%,saccharine,234,2027,52,38.98076923
2019-06-10,6,f,6,0.1000%,saccharine,235,1253,53,23.64150943
