date,Rat_ID,sex,water_deprivation_h,solution,Taste,body weight(g),active licks,inactivelicks, active licks/inactive licks
2019-06-10,7,m,6,0.0050%,quinine,336,73,60,1.216666667
2019-06-10,8,m,6,0.0050%,quinine,332,48,160,0.3
2019-06-10,9,m,6,0.0050%,quinine,342,20,9,2.222222222
2019-06-10,10,m,6,0.1000%,saccharine,335,454,109,4.165137615
2019-06-10,11,m,6,0.1000%,saccharine,336,1343,60,22.38333333
2019-06-10,12,m,6,0.1000%,saccharine,317,2148,220,9.763636364
2019-06-11,1,f,6,0.0100%,quinine,214,153,30,5.1
2019-06-11,2,f,6,0.0100%,quinine,214,33,75,0.44
2019-06-11,3,f,6,0.0100%,quinine,222,1,445,0.002247191
2019-06-11,4,f,6,0.4000%,saccharine,232,693,200,3.465
2019-06-11,5,f,6,0.4000%,saccharine,236,3563,98,36.35714286
2019-06-11,6,f,6,0.4000%,saccharine,234,1498,25,59.92
2019-06-11,7,m,6,0.0100%,quinine,356,68,15,4.533333333
2019-06-11,8,m,6,0.0100%,quinine,346,29,83,0.34939759
2019-06-11,9,m,6,0.0100%,quinine,370,7,9,0.777777778
2019-06-11,10,m,6,0.4000%,saccharine,347,32,9,3.555555556
2019-06-11,11,m,6,0.4000%,saccharine,316,133,4,33.25
2019-06-11,12,m,6,0.4000%,saccharine,319,1373,195,7.041025641
2019-06-12,1,f,6,100%,water,216,794,39,20.35897436
2019-06-12,2,f,6,100%,water,215,350,18,19.44444444
2019-06-12,3,f,6,100%,water,220,820,264,3.106060606
2019-06-12,4,f,6,100%,water,232,722,68,10.61764706
2019-06-12,5,f,6,100%,water,241,69,4,17.25
2019-06-12,6,f,6,100%,water,242,1333,10,133.3
2019-06-12,7,m,6,100%,water,358,1028,4,257
2019-06-12,8,m,6,100%,water,351,44,98,0.448979592
2019-06-12,9,m,6,100%,water,374,508,65,7.815384615
2019-06-12,10,m,6,100%,water,355,251,110,2.281818182
2019-06-12,11,m,6,100%,water,350,31,4,7.75
2019-06-12,12,m,6,100%,water,329,247,91,2.714285714
2019-06-13,1,f,6,0.0100%,saccharine,219,583,36,16.19444444
2019-06-13,2,f,6,0.0100%,saccharine,218,562,40,14.05
2019-06-13,3,f,6,0.0100%,saccharine,229,4,416,0.009615385
2019-06-13,4,f,6,0.0010%,quinine,235,116,58,2
2019-06-13,5,f,6,0.0010%,quinine,232,27,23,1.173913043
2019-06-13,6,f,6,0.0010%,quinine,240,173,13,13.30769231
2019-06-13,7,m,6,0.0100%,saccharine,370,1368,81,16.88888889
2019-06-13,8,m,6,0.0100%,saccharine,355,546,79,6.911392405
2019-06-13,9,m,6,0.0100%,saccharine,382,12,50,0.24
2019-06-13,10,m,6,0.0010%,quinine,361,64,78,0.820512821
2019-06-13,11,m,6,0.0010%,quinine,354,180,18,10
2019-06-13,12,m,6,0.0010%,quinine,334,325,177,1.836158192
2019-06-14,1,f,6,0.0400%,saccharine,223,1420,31,45.80645161
2019-06-14,2,f,6,0.0400%,saccharine,223,723,116,6.232758621
2019-06-14,3,f,6,0.0400%,saccharine,219,2895,103,28.10679612
2019-06-14,4,f,6,0.0025%,quinine,235,1463,81,18.0617284
2019-06-14,5,f,6,0.0025%,quinine,242,24,51,0.470588235
2019-06-14,6,f,6,0.0025%,quinine,247,1514,14,108.1428571
2019-06-14,7,m,6,0.0400%,saccharine,377,1740,33,52.72727273
2019-06-14,8,m,6,0.0400%,saccharine,363,1485,108,13.75
2019-06-14,9,m,6,0.0400%,saccharine,387,370,38,9.736842105
2019-06-14,10,m,6,0.0025%,quinine,366,71,176,0.403409091
2019-06-14,11,m,6,0.0025%,quinine,352,131,8,16.375
2019-06-14,12,m,6,0.0025%,quinine,337,390,87,4.482758621
2019-06-17,1,f,6,0.1000%,saccharine,224,2405,67,35.89552239
2019-06-17,2,f,6,0.1000%,saccharine,228,980,48,20.41666667
2019-06-17,3,f,6,0.1000%,saccharine,229,3418,137,24.94890511
2019-06-17,4,f,6,0.0050%,quinine,244,1894,100,18.94
2019-06-17,5,f,6,0.0050%,quinine,244,24,124,0.193548387
2019-06-17,6,f,6,0.0050%,quinine,253,1941,13,149.3076923
2019-06-17,7,m,6,0.1000%,saccharine,395,1509,50,30.18
2019-06-17,8,m,6,0.1000%,saccharine,380,1197,82,14.59756098
2019-06-17,9,m,6,0.1000%,saccharine,413,1784,60,29.73333333
2019-06-17,10,m,6,0.0050%,quinine,390,175,123,1.422764228
2019-06-17,11,m,6,0.0050%,quinine,379,12,52,0.230769231
2019-06-17,12,m,6,0.0050%,quinine,353,740,97,7.628865979
2019-06-18,1,f,6,0.4000%,saccharine,231,1933,117,16.52136752
2019-06-18,2,f,6,0.4000%,saccharine,232,1416,16,88.5
2019-06-18,3,f,6,0.4000%,saccharine,231,3166,46,68.82608696
2019-06-18,4,f,6,0.0100%,quinine,246,1096,82,13.36585366
2019-06-18,5,f,6,0.0100%,quinine,254,77,8,9.625
2019-06-18,6,f,6,0.0100%,quinine,251,274,29,9.448275862
2019-06-18,7,m,6,0.4000%,saccharine,402,2233,40,55.825
2019-06-18,8,m,6,0.4000%,saccharine,391,1132,63,17.96825397
2019-06-18,9,m,6,0.4000%,saccharine,422,1451,64,22.671875
2019-06-18,10,m,6,0.0100%,quinine,397,2,58,0.034482759
2019-06-18,11,m,6,0.0100%,quinine,382,29,10,2.9
2019-06-18,12,m,6,0.0100%,quinine,361,95,23,4.130434783
